vid,did,vid_hex,did_hex,family,source
1841,61457,0731,F011,GenericPCI,pci_ids
1841,61713,0731,F111,GenericPCI,pci_ids
1841,65297,0731,FF11,GenericPCI,pci_ids
1941,26211,0795,6663,GenericPCI,pci_ids
1941,26214,0795,6666,GenericPCI,pci_ids
2827,261,0B0B,0105,GenericPCI,pci_ids
2827,517,0B0B,0205,GenericPCI,pci_ids
2827,518,0B0B,0206,GenericPCI,pci_ids
2827,773,0B0B,0305,GenericPCI,pci_ids
2827,1029,0B0B,0405,GenericPCI,pci_ids
2827,1030,0B0B,0406,GenericPCI,pci_ids
2827,1285,0B0B,0505,GenericPCI,pci_ids
2827,1286,0B0B,0506,GenericPCI,pci_ids
2827,1541,0B0B,0605,GenericPCI,pci_ids
2827,1797,0B0B,0705,GenericPCI,pci_ids
2827,1798,0B0B,0706,GenericPCI,pci_ids
2827,2309,0B0B,0905,GenericPCI,pci_ids
2827,2310,0B0B,0906,GenericPCI,pci_ids
2827,2566,0B0B,0A06,GenericPCI,pci_ids
3277,272,0CCD,0110,GenericPCI,pci_ids
3277,288,0CCD,0120,GenericPCI,pci_ids
3277,3277,0CCD,0CCD,GenericPCI,pci_ids
3277,512,0CCD,0200,GenericPCI,pci_ids
3277,513,0CCD,0201,GenericPCI,pci_ids
3601,1,0E11,0001,GenericPCI,pci_ids
3601,2,0E11,0002,GenericPCI,pci_ids
3601,70,0E11,0046,GenericPCI,pci_ids
3601,3601,0E11,0E11,GenericPCI,pci_ids
3601,90,0E11,005A,GenericPCI,pci_ids
3601,177,0E11,00B1,GenericPCI,pci_ids
3601,1288,0E11,0508,GenericPCI,pci_ids
3601,4096,0E11,1000,GenericPCI,pci_ids
3601,8192,0E11,2000,GenericPCI,pci_ids
3601,12338,0E11,3032,GenericPCI,pci_ids
3601,12339,0E11,3033,GenericPCI,pci_ids
3601,12340,0E11,3034,GenericPCI,pci_ids
3601,16384,0E11,4000,GenericPCI,pci_ids
3601,16448,0E11,4040,GenericPCI,pci_ids
3601,16456,0E11,4048,GenericPCI,pci_ids
3601,16496,0E11,4070,GenericPCI,pci_ids
3601,16512,0E11,4080,GenericPCI,pci_ids
3601,16514,0E11,4082,GenericPCI,pci_ids
3601,16515,0E11,4083,GenericPCI,pci_ids
3601,24592,0E11,6010,GenericPCI,pci_ids
3601,28704,0E11,7020,GenericPCI,pci_ids
3601,41196,0E11,A0EC,GenericPCI,pci_ids
3601,41200,0E11,A0F0,GenericPCI,pci_ids
3601,41203,0E11,A0F3,GenericPCI,pci_ids
3601,41207,0E11,A0F7,GenericPCI,pci_ids
3601,32902,0E11,8086,GenericPCI,pci_ids
3601,41208,0E11,A0F8,GenericPCI,pci_ids
3601,41212,0E11,A0FC,GenericPCI,pci_ids
3601,44560,0E11,AE10,GenericPCI,pci_ids
3601,44585,0E11,AE29,GenericPCI,pci_ids
3601,44586,0E11,AE2A,GenericPCI,pci_ids
3601,44587,0E11,AE2B,GenericPCI,pci_ids
3601,44593,0E11,AE31,GenericPCI,pci_ids
3601,44594,0E11,AE32,GenericPCI,pci_ids
3601,44595,0E11,AE33,GenericPCI,pci_ids
3601,44596,0E11,AE34,GenericPCI,pci_ids
3601,44597,0E11,AE35,GenericPCI,pci_ids
3601,44608,0E11,AE40,GenericPCI,pci_ids
3601,44611,0E11,AE43,GenericPCI,pci_ids
3601,44649,0E11,AE69,GenericPCI,pci_ids
3601,44652,0E11,AE6C,GenericPCI,pci_ids
3601,44653,0E11,AE6D,GenericPCI,pci_ids
3601,45073,0E11,B011,GenericPCI,pci_ids
3601,45074,0E11,B012,GenericPCI,pci_ids
3601,45104,0E11,B030,GenericPCI,pci_ids
3601,45152,0E11,B060,GenericPCI,pci_ids
3601,45432,0E11,B178,GenericPCI,pci_ids
3601,45568,0E11,B200,GenericPCI,pci_ids
3601,45571,0E11,B203,GenericPCI,pci_ids
3601,4156,0E11,103C,GenericPCI,pci_ids
3601,45572,0E11,B204,GenericPCI,pci_ids
3601,49152,0E11,C000,GenericPCI,pci_ids
3601,61744,0E11,F130,GenericPCI,pci_ids
3601,61776,0E11,F150,GenericPCI,pci_ids
3725,2049,0E8D,0801,GenericPCI,pci_ids
3756,8,0EAC,0008,GenericPCI,pci_ids
4096,1,1000,0001,GenericPCI,pci_ids
4096,4096,1000,1000,GenericPCI,pci_ids
4096,2,1000,0002,GenericPCI,pci_ids
4096,3,1000,0003,GenericPCI,pci_ids
4096,4,1000,0004,GenericPCI,pci_ids
4096,5,1000,0005,GenericPCI,pci_ids
4096,6,1000,0006,GenericPCI,pci_ids
4096,10,1000,000A,GenericPCI,pci_ids
4096,3601,1000,0E11,GenericPCI,pci_ids
4096,11,1000,000B,GenericPCI,pci_ids
4096,5097,1000,13E9,GenericPCI,pci_ids
4096,12,1000,000C,GenericPCI,pci_ids
4096,7649,1000,1DE1,GenericPCI,pci_ids
4096,13,1000,000D,GenericPCI,pci_ids
4096,15,1000,000F,GenericPCI,pci_ids
4096,4242,1000,1092,GenericPCI,pci_ids
4096,6005,1000,1775,GenericPCI,pci_ids
4096,19539,1000,4C53,GenericPCI,pci_ids
4096,16,1000,0010,GenericPCI,pci_ids
4096,18,1000,0012,GenericPCI,pci_ids
